Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      146     0.00     0.00  std::_Rb_tree_iterator<char> std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_M_insert_<char const&, std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_Alloc_node>(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, char const&, std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_Alloc_node&)
  0.00      0.00     0.00      146     0.00     0.00  std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_Alloc_node::_Alloc_node(std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >&)
  0.00      0.00     0.00      146     0.00     0.00  std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_M_get_node()
  0.00      0.00     0.00      146     0.00     0.00  std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_M_put_node(std::_Rb_tree_node<char>*)
  0.00      0.00     0.00      146     0.00     0.00  std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_M_drop_node(std::_Rb_tree_node<char>*)
  0.00      0.00     0.00      146     0.00     0.00  std::_Rb_tree_node<char>* std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_M_create_node<char const&>(char const&)
  0.00      0.00     0.00      146     0.00     0.00  std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_M_destroy_node(std::_Rb_tree_node<char>*)
  0.00      0.00     0.00      146     0.00     0.00  void std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_M_construct_node<char const&>(std::_Rb_tree_node<char>*, char const&)
  0.00      0.00     0.00      146     0.00     0.00  std::_Rb_tree_node<char>*& std::forward<std::_Rb_tree_node<char>*&>(std::remove_reference<std::_Rb_tree_node<char>*&>::type&)
  0.00      0.00     0.00      132     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(unsigned long, char, std::allocator<char> const&)
  0.00      0.00     0.00      132     0.00     0.00  std::__cxx11::to_string(int)
  0.00      0.00     0.00      132     0.00     0.00  unsigned int std::__detail::__to_chars_len<unsigned int>(unsigned int, int)
  0.00      0.00     0.00      132     0.00     0.00  void std::__detail::__to_chars_10_impl<unsigned int>(char*, unsigned int, unsigned int)
  0.00      0.00     0.00      101     0.00     0.00  std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::begin()
